  Training steps     Dev form acc    Dev lemma acc   Train form acc  Train lemma acc
          194000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          196000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          198000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          200000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          202000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          204000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          206000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          208000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          210000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          212000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          214000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          216000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          218000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          220000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          222000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          224000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          226000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          228000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          230000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          232000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          234000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          236000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          238000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          240000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          242000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          244000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          246000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          248000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          250000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          252000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          254000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          256000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          258000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
          260000       0.88300000       0.20833333    !! 1.00000000    !! 1.00000000
