Lang	lemma
ang_large	76.619
ara_large	79.866
asm_large	83.333
evn_large	0
got_large	91.716
heb_large	0
hun_large	94.509
kat_large	96.739
khk_large	94.118
kor_large	39.759
krl_large	87.5
lud_large	83.491
non_large	83.607
pol_large	96.699
poma_large	74.699
slk_large	95.233
tur_large	95.238
vep_large	69.125
_LARGE	42.232
TOTAL	61.578
